Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
04/27/2018,-0.54183402536134,-0.490038306646919,-0.575895699428267,-0.0422935374991954,-0.64142610321733,-0.416973528141803
05/04/2018,-0.553830537695067,-0.504493567792497,-0.592968941897434,-0.0487061828023736,-0.587458581545223,-0.411634300032481
05/11/2018,-0.563032793149299,-0.513633794357771,-0.607448209180889,-0.0543886647583064,-0.524379454470888,-0.406738513114205
05/18/2018,-0.567910202721429,-0.516930690918617,-0.617876738838713,-0.0588543831157943,-0.454142181515593,-0.402287146548231
05/25/2018,-0.567500260776867,-0.515016038546807,-0.622843286224454,-0.0617561880517279,-0.380256601169946,-0.398270268273928
06/01/2018,-0.562522153041589,-0.510714205578397,-0.622618673982958,-0.0632063135595657,-0.306290355889946,-0.394667633091937
06/08/2018,-0.55664734366985,-0.506714314022993,-0.619864997659498,-0.0638033880751875,-0.236048065356046,-0.391450822274488
06/15/2018,-0.549717119474497,-0.501157679362307,-0.615551806666633,-0.063468275934728,-0.171834243345113,-0.388584674893415
06/22/2018,-0.543818992492393,-0.495621629914149,-0.611991788961541,-0.0627138800692617,-0.115424042267086,-0.386028804446716
06/29/2018,-0.54060834857936,-0.491713192784914,-0.610642262152083,-0.0620618177682157,-0.0682292259503453,-0.383741030369083
07/06/2018,-0.54184033908961,-0.494536963466852,-0.613447973407824,-0.0622539174258136,-0.029646439624496,-0.381678378255924
07/13/2018,-0.547357103279799,-0.50499350804216,-0.620273001140492,-0.0637427862337273,0.00151477592721,-0.379796270809027
07/20/2018,-0.555451363527987,-0.522084818666803,-0.630094865629803,-0.0661143218658469,0.0269506894359827,-0.378053315482891
07/27/2018,-0.564686310505332,-0.543297139729271,-0.642422158389162,-0.0687894651517453,0.0487108544537365,-0.376411320992923
08/03/2018,-0.573924807967,-0.56360530627979,-0.655633971026017,-0.0717623217446358,0.0689407559490729,-0.374834953776079
08/10/2018,-0.583101906486781,-0.578905561695317,-0.668975253592282,-0.0750523745506899,0.0891166986265361,-0.373294653511551
08/17/2018,-0.590171179425515,-0.586559935251757,-0.680645163174274,-0.0780045400375095,0.110320749869983,-0.371767238486264
08/24/2018,-0.596045270763101,-0.589679665245549,-0.690564871045653,-0.0810195857375334,0.13322650955694,-0.370236677838298
08/31/2018,-0.600156452610789,-0.592329813945414,-0.697725899087505,-0.0839539195715331,0.157559791865053,-0.368695369907234
09/07/2018,-0.60240126711848,-0.597042256063391,-0.701895571737216,-0.0867030922140746,0.182961297134175,-0.3671446196479
09/14/2018,-0.602794709419252,-0.604362633636688,-0.70290996647569,-0.0890489013805385,0.208342260821541,-0.365595482851255
09/21/2018,-0.600237278041328,-0.610771138385822,-0.700436251197359,-0.0903370795900988,0.233100659576943,-0.36406978670424
09/28/2018,-0.595899941085221,-0.612393451466873,-0.694608688832514,-0.0903542598667264,0.255233225906227,-0.362598750367862
10/05/2018,-0.589204787956135,-0.607829655407655,-0.685414803482366,-0.0888661280984995,0.274798576843628,-0.361220184742696
10/12/2018,-0.579200721729162,-0.595371133251887,-0.672693508431195,-0.0849842104716512,0.29163116508155,-0.359984678136285
10/19/2018,-0.567950194971452,-0.581960573070642,-0.658330304515082,-0.0786302987017869,0.305592219659247,-0.35894158029997
10/26/2018,-0.554394639551479,-0.569508398984778,-0.642028556391175,-0.069341893219033,0.317022869059167,-0.358143728512239
11/02/2018,-0.539073692126897,-0.559933385291875,-0.624747488116072,-0.0569196787356105,0.32584956508924,-0.35764460043376
11/09/2018,-0.522943977089816,-0.551603115360686,-0.607600930042537,-0.0418262879684382,0.332098631107694,-0.357496570909602
11/16/2018,-0.503409585662118,-0.536322060932678,-0.590170733701518,-0.0236237756588794,0.336103881916612,-0.3577495491636
11/23/2018,-0.482021596183425,-0.512008695298934,-0.573045487453217,-0.00396762304574287,0.336917852724385,-0.358450899807953
11/30/2018,-0.461672852955784,-0.481295270527184,-0.558112966218514,0.0152216460846769,0.333457228249256,-0.359644434661041
12/07/2018,-0.442473575819001,-0.447545565663679,-0.545469049322894,0.0323992632149867,0.325118011011006,-0.361370269434129
12/14/2018,-0.429055610054016,-0.422294124010282,-0.537595238289456,0.0452595162893214,0.310166009309778,-0.363664927069509
12/21/2018,-0.423048796295819,-0.411135637093468,-0.53535281269396,0.0526638033335307,0.287646093230493,-0.366560669468295
12/28/2018,-0.426505832885527,-0.415962016047539,-0.539294322519311,0.0531565997168305,0.257703088212792,-0.370084119128768
01/04/2019,-0.439659586637813,-0.433948587055901,-0.550977707198454,0.0475498487945898,0.221311054575269,-0.374260394888361
01/11/2019,-0.459816158445388,-0.455205007398637,-0.567495100759543,0.0361660411974453,0.180799256988076,-0.379108064369261
01/18/2019,-0.483546311310515,-0.476214298898445,-0.587466815431466,0.0217324729839618,0.137704588669784,-0.384638677501779
01/25/2019,-0.508090164273775,-0.493931481034528,-0.609185033676632,0.00591461865446072,0.0948051397900401,-0.390859056990049
02/01/2019,-0.532129247278495,-0.510713609300063,-0.631760852835437,-0.00946056958129505,0.0536922267699563,-0.397768050736537
02/08/2019,-0.552764075424386,-0.527410025433076,-0.652870941974272,-0.0228731064953432,0.0160377800447956,-0.405352502706182
02/15/2019,-0.57013321894922,-0.545773740186075,-0.672339976327842,-0.0334052776371224,-0.017659963065446,-0.413586054273163
02/22/2019,-0.583490774671733,-0.56318190617287,-0.688822618322864,-0.0411101403084876,-0.0467481038671754,-0.422426729017089
03/01/2019,-0.592461049384243,-0.574868236961741,-0.701561006536368,-0.0461030888299035,-0.0712297928991428,-0.431814147608458
03/08/2019,-0.597683766867802,-0.578250935551809,-0.710907332794205,-0.0487429902603628,-0.0913552875578644,-0.441669540216288
03/15/2019,-0.601576176462029,-0.576442054505598,-0.717581376775679,-0.0504989956347654,-0.107862254384517,-0.451894038045167
03/22/2019,-0.605559176203833,-0.573351144406635,-0.72308921808133,-0.0517094986866464,-0.12115367398722,-0.462368919671118
03/29/2019,-0.608362277115111,-0.572716300082442,-0.726494924340974,-0.0527981202041189,-0.130971495540659,-0.47296087887938
04/05/2019,-0.612571708817717,-0.578650505053385,-0.729865118578312,-0.0542083261998173,-0.137732284232441,-0.483534477647935
04/12/2019,-0.615942824279153,-0.588898969223342,-0.731887347681569,-0.0553137137782753,-0.141337382886939,-0.493930806052527
04/19/2019,-0.618036933900808,-0.598955294920964,-0.732728062561959,-0.0557279087921786,-0.141621972165735,-0.504024028861359
04/26/2019,-0.61713030353586,-0.603184182974411,-0.731352093387764,-0.0548431634451515,-0.138690210971076,-0.51369929728501
05/03/2019,-0.613765796093273,-0.601058687424921,-0.72813550634788,-0.0526009022991497,-0.132960120555676,-0.522865921656688
05/10/2019,-0.606936828253653,-0.592741137510569,-0.722552635827277,-0.0488870464778513,-0.124551833954179,-0.53146238568161
05/17/2019,-0.59866425298318,-0.583348133583428,-0.715695824228237,-0.0444268233888163,-0.114413579992749,-0.539456553943979
05/24/2019,-0.590511888630792,-0.576688652515969,-0.708413987281542,-0.0400952375632061,-0.103240321786486,-0.546843458162141
05/31/2019,-0.582434924656419,-0.572406731256747,-0.700939035080847,-0.0362574198270827,-0.0911804275805502,-0.553644559615619
06/07/2019,-0.576982197069059,-0.571743244476914,-0.695270866196005,-0.0335552554580428,-0.0790322559231699,-0.559903517504
06/14/2019,-0.574783490614372,-0.571674365823725,-0.692398640224201,-0.0320618563434368,-0.0669269125821906,-0.565682230202672
06/21/2019,-0.57461376123416,-0.570541786610854,-0.692478686238826,-0.0310967621954172,-0.0541625918557491,-0.571056405721889
06/28/2019,-0.576929061594307,-0.56979641922125,-0.695494894814784,-0.0297985634118533,-0.0422198465974598,-0.576109988045431
07/05/2019,-0.580962953668925,-0.572532648571009,-0.701094422158388,-0.0280612143267061,-0.0297379136823866,-0.580925919675884
07/12/2019,-0.582972864519081,-0.575899400724061,-0.705742336861322,-0.0249267401237112,-0.0167169005007694,-0.585589271156406
